Title,Locations,Fun facts,Production company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,Longitude,Latitude,Analysis neighborhood,Imdb_id,Year,Kind,Genres,Plot,Language,Country,Certificates,Runtime,Awards,Imdb_rating,Imdb_votes,Metascore,Box_office,Poster,Rt_score,Metacritic_score
The Wedding Planner,Pleasant Street at Taylor,,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,-122.4114139,37.7856667,Tenderloin,tt0209475,2001,movie,"Comedy, Romance","Mary Fiore is the wedding planner. She's ambitious, hard-working, extremely organized, and she knows exactly what to do and say to make any wedding a spectacular event. Bt when Mary falls (literally) for a handsome doctor her busy yet uncomplicated life is turned upside down - he's the groom in the biggest wedding of her career! Will she help him walk down the aisle with his internet tycoon girlfriend, or will Mary finally get to be the bride herself? When it comes to love, you can never plan what's going to happen.","English, Italian","Germany, United States",PG-13,103,2 wins & 6 nominations total,5.4,90779,33,"$60,400,856 ",https://m.media-amazon.com/images/M/MV5BZmNkOGFiZjktMGFlZi00NGU2LThkYzUtOGFlZDExNDcxMzY2XkEyXkFqcGc@._V1_SX300.jpg,,33/100
Quitters,Geary from 22nd Ave to Arguello,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,,,,tt3018528,2015,movie,"Comedy, Drama","Quitters tells the story of the Raymans, a wealthy Jewish family that's falling apart. The son, Clark, is a bright and curious high schooler with a talent for manipulation. As his mother May enters treatment for a pill addiction, and he and his father Roger stop getting along, Clark thinks about running away from home. He just needs to decide where to go.",English,United States,R,95,2 nominations,5.2,278,51,,https://m.media-amazon.com/images/M/MV5BMjk3MTkxMzIwN15BMl5BanBnXkFtZTgwNzQzMTAyOTE@._V1_SX300.jpg,38%,51/100
Outerlands,Mijote - 2400 Harrison St.,,"Vajra Films, LLC",Wolfe Video,Elena Oxman,Elena Oxman,Asia Kate Dillon,Louisa Krause,Ridley Asha Bateman,-122.4128578,37.7588804,Mission,tt35319790,2025,movie,"Drama, Family","A gig worker in San Francisco balances multiple jobs, including dealing party drugs. When their crush asks them to watch her daughter, what starts as temporary childcare evolves into an unexpected journey of self-discovery and hea...",English,United States,,100,2 wins & 2 nominations total,,46,,,https://m.media-amazon.com/images/M/MV5BNWEwODFiY2EtNjBmOC00MWI0LTlmNDMtYzcwYzcxZWYwOGZkXkEyXkFqcGc@._V1_SX300.jpg,,
Time After Time,Merchant Exchange (465 California Street at Leidesdorff),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,-122.4021715,37.792255,Financial District/South Beach,tt0080025,1979,movie,"Adventure, Drama, Sci-Fi","It's 1893 London. Futurist H.G. Wells believes that the future holds a Utopian society. He also believes in time travel. He has just built a time machine which he is displaying to a group of skeptical friends, including surgeon Dr. John Leslie Stevenson. Unbeknown to Wells or anyone else among that circle, Stevenson is better known to the public as Jack the Ripper. Just as the police are about to capture Stevenson, he uses the time machine to escape, with Wells being the only one who knows what happened to him. Not telling anyone except his trusting housekeeper, Wells follows Stevenson in order to capture and bring him back to face justice. Where Stevenson has gone is 1979 San Francisco. There, Wells is dismayed to find that the future is not Utopia as he had predicted. But Wells is also picked up by a young woman named Amy Robbins. As Wells and Amy search for Stevenson, Stevenson conversely is after Wells to obtain the master key to the time machine. As Stevenson continues his murderous ways, he will stop at nothing to achieve his desires, which places Amy in danger.",English,United States,PG,112,7 wins & 7 nominations total,7,21624,69,,https://m.media-amazon.com/images/M/MV5BNzAzY2MwNmUtM2E4ZS00YWFiLWI0YzQtNjU1MTU3OWY5YTgxXkEyXkFqcGc@._V1_SX300.jpg,88%,69/100
Babies,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,,,,tt1020938,2010,movie,Documentary,"A look at one year in the life of four babies from around the world, from Mongolia to Namibia to San Francisco to Tokyo.","English, Japanese, Mongolian",France,PG,79,3 nominations,7,7487,63,"$7,320,323 ",https://m.media-amazon.com/images/M/MV5BMTI3MjA4OTE1MF5BMl5BanBnXkFtZTcwNDk3NjYwMw@@._V1_SX300.jpg,67%,63/100
Terminator Genisys,California at Jones,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,-122.4141357,37.7914291,Nob Hill,tt1340138,2015,movie,"Action, Adventure, Sci-Fi","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured time-line. Now, Sgt. Reese finds himself in a new and unfamiliar version of the past, where he is faced with unlikely allies, including the Guardian, dangerous new enemies, and an unexpected new mission: To reset the future.",English,"United States, Canada",PG-13,126,9 nominations total,6.3,305926,38,"$89,760,956 ",https://m.media-amazon.com/images/M/MV5BMjM1NTc0NzE4OF5BMl5BanBnXkFtZTgwNDkyNjQ1NTE@._V1_SX300.jpg,26%,38/100
Good Neighbor Sam,Various locations in San Francisco during driving scene,,Columbia Pictures Corporation,Columbia Pictures,David Swift,James Fritzell,Jack Lemmon,Romy Schneider,Dorothy Provine,-122.47709,37.8106117,Presidio,tt0058153,1964,movie,Comedy,"Sam Bissel is a wholesome family man with a loving wife, Min, and two loving daughters. They lead a happy suburban life. The only part of Sam's life that he is not happy about is his job as a lowly cog in the art department of the advertising firm of Burke &amp; Hare. Sam's professional life takes a major turn when he is made executive of the Nurdlinger Dairy account. Simon Nurdlinger is a wholesome family man who wants a wholesome family man with wholesome family ideals heading his account, Sam the only one in Burke &amp; Hare that fits the bill. Sam's home life also takes a major turn when Min's college friend, Janet Lagerlof, moves in next door. Janet stands to inherit $15 million from her grandfather's estate, but the will has a clause that she must be happily married to inherit the money. Janet is technically divorced from Howard Ebbets, and states that getting back with Howard is not worth $15 million. But when Jack Bailey and Irene Krump - two of Janet's relatives who would like to find any excuse to contest the will - come by for an unexpected visit, Janet impetuously introduces Sam as her husband, Howard. Things get more complicated for Sam when he is later forced to introduce Janet as Mrs. Bissel to both Burke and Nurdlinger. Sam and by association Min go along with the ruse, and for their troubles Janet offers to give them $1 million of her inheritance. After that, further complications occur: Janet notices a private investigator snooping around the neighborhood, the P.I. hired by Janet's relatives; Howard, Janet's ex-husband comes back wanting to reconcile with her; and without Sam's knowledge, the Nurdlinger creative includes billboards featuring a wholesome couple espousing the goodness of Nurdlinger milk, that wholesome couple being Sam and Janet as Mr. &amp; Mrs. Sam Bissel. They just have to continue dealing with these complications until the legal hearing. But Min may just have had enough of this plan before they get the money.",English,United States,Approved,130,Nominated for 1 BAFTA Award2 nominations total,6.8,3366,,"$9,072,726 ",https://m.media-amazon.com/images/M/MV5BZmEwMWQ4ZDgtN2YxNy00MTQ5LWEyMmItZTdiMjY3YmJmZTM1XkEyXkFqcGc@._V1_SX300.jpg,80%,
Shuang cheng gu shi,Texas St at 19th St,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,-122.3954651,37.7613763,Potrero Hill,tt8893498,2018,series,Drama,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",,Taiwan,,,7 nominations,6.4,183,,,https://m.media-amazon.com/images/M/MV5BOTYwNjg0ZWYtZDQxYi00N2M0LTkwMTItOTBjYTMwYzVjNDhjXkEyXkFqcGc@._V1_SX300.jpg,,
Americana,Jackson St. at Spruce,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,-122.4541486,37.7899951,Presidio Heights,tt3662778,2016,movie,Drama,An alcoholic film editor puts together the pieces of his movie star sister's murder.,English,United States,R,81,1 win & 1 nomination,5.5,62,,,https://m.media-amazon.com/images/M/MV5BYjYxNGI3MmUtOTYyNS00MzFhLTg1NDgtNDhlMTZlYjBjMjAxXkEyXkFqcGdeQXVyNTEyMDQyMjM@._V1_SX300.jpg,,
Chance,Haight St at Ashbury St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,-122.4469681,37.7700202,Haight Ashbury,tt5620076,2016,series,"Drama, Mystery, Thriller","Modern day noir story about Psychiatrist Eldon Chance, who's in a rut. He's middle-aged, his wife wants a divorce, which might put a strain on his relationship with his astute teenage daughter he deeply cares about, and he's getting tired of his professional work. Chance's natural talent for psychoanalysis allows him to easily assess everyone that wants his help but that doesn't mean he can actually cure them or even help them. Everything changes however, when he meets mysterious and attractive Jaclyn Blackstone, who turns out to have both dark secrets and big psychological as well as private problems. But her most immediate problem is her abusive ex-husband Raymond Blackstone, who also happens to be a corrupt cop with connections. Chance falls for Jaclyn and becomes obsessed with helping her but he quickly realizes that he's in over his head. Help eventually comes in the form of a hulking man called D. While clearly a bit unhinged, asocial and disturbed, D is also highly skilled, calculated, smart and efficient and possesses huge knowledge of tactics, weaponry and hand-to-hand combat. He is also highly focused and loyal and agrees to help Chance find a way to deal with the new and dangerous situation he's put himself in over Jaclyn.",English,United States,TV-MA,1,,7.5,11253,,,https://m.media-amazon.com/images/M/MV5BOTc3MDYwNTg4NF5BMl5BanBnXkFtZTgwMTk0NDYzMDI@._V1_SX300.jpg,,
San Andreas,"Stage Work, 47 Julian St.",,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,,,,tt2126355,2015,movie,"Action, Adventure, Thriller","In San Andreas, California is experiencing a statewide earthquake that goes on record as easily the biggest earthquake in history. Dwayne Johnson plays Ray Gaines, a helicopter rescue pilot for the Los Angeles Fire Department, who is trying to find his daughter, Blake (Alexandra Daddario), who is in San Francisco amid-st the chaos. Ray's estranged wife, Emma, is forced to turn to Ray for help, as he is her last resort. Together they journey to save their daughter.",English,"United States, Canada",PG-13,114,2 wins & 10 nominations total,6.1,271110,43,"$155,190,832 ",https://m.media-amazon.com/images/M/MV5BYmQzNDEzMzMtM2U5OS00YTUzLWI2NDYtYjI2NjAyNWE5YzMzXkEyXkFqcGc@._V1_SX300.jpg,48%,43/100
Bullitt,John Muir Drive (Lake Merced),,Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,-122.4919111,37.7211702,Lakeshore,tt0062765,1968,movie,"Action, Crime, Thriller","San Francisco Police Lieutenant Bullitt's tasked by ambitious Walter Chalmers, to guard Johnny Ross, a Chicago mobster who's about to turn evidence against the organisation. Chalmers wants Ross' safety at all cost, or else Bullitt will pay the consequences.",English,United States,M/PG,114,Won 1 Oscar. 8 wins & 9 nominations total,7.4,81318,81,"$511,350 ",https://m.media-amazon.com/images/M/MV5BYTA0ZjRhNjgtYWNlMC00Y2U4LTg1OGEtMTU4NGM1MTRjZGUyXkEyXkFqcGc@._V1_SX300.jpg,98%,81/100
Blue Jasmine,Marina Blvd from Laguna to Baker,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,-122.432185,37.805118,Marina,tt2334873,2013,movie,"Comedy, Drama, Romance","Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own.",English,United States,PG-13,98,Won 1 Oscar. 56 wins & 83 nominations total,7.3,218419,78,"$33,405,481 ",https://m.media-amazon.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX300.jpg,90%,78/100
Chance,Potomac and Waller,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,-122.4384872,37.7701519,Haight Ashbury,tt5620076,2016,series,"Drama, Mystery, Thriller","Modern day noir story about Psychiatrist Eldon Chance, who's in a rut. He's middle-aged, his wife wants a divorce, which might put a strain on his relationship with his astute teenage daughter he deeply cares about, and he's getting tired of his professional work. Chance's natural talent for psychoanalysis allows him to easily assess everyone that wants his help but that doesn't mean he can actually cure them or even help them. Everything changes however, when he meets mysterious and attractive Jaclyn Blackstone, who turns out to have both dark secrets and big psychological as well as private problems. But her most immediate problem is her abusive ex-husband Raymond Blackstone, who also happens to be a corrupt cop with connections. Chance falls for Jaclyn and becomes obsessed with helping her but he quickly realizes that he's in over his head. Help eventually comes in the form of a hulking man called D. While clearly a bit unhinged, asocial and disturbed, D is also highly skilled, calculated, smart and efficient and possesses huge knowledge of tactics, weaponry and hand-to-hand combat. He is also highly focused and loyal and agrees to help Chance find a way to deal with the new and dangerous situation he's put himself in over Jaclyn.",English,United States,TV-MA,1,,7.5,11253,,,https://m.media-amazon.com/images/M/MV5BOTc3MDYwNTg4NF5BMl5BanBnXkFtZTgwMTk0NDYzMDI@._V1_SX300.jpg,,
Goliath,"Merchants Exchange, 465 California St",,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,-122.402205,37.7927819,Financial District/South Beach,tt4687880,2016,series,Drama,"Billy Mcbride is going through a rough patch. He has been fired from the law firm he helped build, his wife has left him, and he's now a down on his luck ambulance chaser. A lady (Patty) approaches him to represent her in a wrongful death case. After reluctantly accepting to take on the case, a series of strange events befall Billy. Through death threats, harassment, and trumped up arrests, Billy embarks on obtaining justice, and it is one hell of a ride. Additional unique cases eventually come Billy and Patty's way, making the ride even more entertaining.",English,United States,TV-MA,60,Nominated for 1 Primetime Emmy. 1 win & 11 nominations total,8.1,62986,,,https://m.media-amazon.com/images/M/MV5BN2YwNjY2NzEtYTE4ZC00MTZkLTlkM2ItZmJiZDAxNzE1OTQxXkEyXkFqcGc@._V1_SX300.jpg,,
Looking,534 Hyde Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,-122.4161084,37.7859698,Tenderloin,tt2581458,2014,series,"Comedy, Drama, Romance","Three best friends living in San Francisco share the nuances and complexities of contemporary gay relationships as they explore a variety of options, both in love and in life.",English,United States,TV-MA,30,4 wins & 19 nominations total,8.2,22547,,,https://m.media-amazon.com/images/M/MV5BNzEwYjUyZjgtNmI1OC00ZThlLWFjZDgtMmNlMTk3NDE5ZjY0XkEyXkFqcGc@._V1_SX300.jpg,,
Venom,Grant Ave btwn Pine and Jackson,Motorcycle/SUV chase scene,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,-122.4059209,37.7913348,Financial District/South Beach,tt1270797,2018,movie,"Action, Adventure, Sci-Fi","After a faulty interview with the Life Foundation ruins his career, former reporter Eddie Brock's life is in pieces. Six months later, he comes across the Life Foundation again, and he comes into contact with an alien symbiote and becomes Venom, a parasitic antihero.","English, Mandarin, Malay","United States, China",PG-13,112,2 wins & 9 nominations total,6.6,601600,35,"$213,515,506 ",https://m.media-amazon.com/images/M/MV5BNTYwMDg5MDItNjhmZi00NmVmLThjNWItMmNkMjVkMWRhNzI2XkEyXkFqcGc@._V1_SX300.jpg,31%,35/100
Always Be My Maybe,Golden Gate Music Concourse,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,-122.4685673,37.7698834,Golden Gate Park,tt7374948,2019,movie,"Comedy, Romance","Childhood friends Sasha and Marcus have a falling-out and don't speak for 15 years. But when Sasha, now a celebrity chef in Los Angeles, returns to her hometown of San Francisco to open a new restaurant, she runs into her old pal--a happily-complacent musician still living at home and working for his dad. Though the two are reluctant to reconnect, they soon find the old sparks--and maybe some new ones?",English,United States,PG-13,101,1 win & 5 nominations total,6.7,64602,64,,https://m.media-amazon.com/images/M/MV5BZjUxMDEzMWItN2Y2OS00ZTNmLThhYTEtZDAzYWFiMzQ0MTlkXkEyXkFqcGc@._V1_SX300.jpg,89%,64/100
Burglar,Green Valley Restaurant (510 Green Street Near Grant),,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,-122.4076706,37.7998719,North Beach,tt0092710,1987,movie,"Comedy, Crime","Bernice ""Bernie"" Rhodenbarr is a burglar by trade, and she runs a bookstore as well. Her friend Carl Hefler is a dog groomer. After a successful burglary, it's discovered that a dead body was in the house she burgled. As she's the only one who can be placed at the scene of the crime, she has to use her criminal skills to clear her name of the murder AND avoid getting charged with the burglary.",English,"Canada, United States",R,103,,5.1,4812,,"$16,337,355 ",https://m.media-amazon.com/images/M/MV5BY2Q3ODM0MjQtODRkMy00ZjQxLWIwNWYtY2U5MWU4YmNiYTE5XkEyXkFqcGc@._V1_SX300.jpg,27%,
I Am Michael,F Train,,That’s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,-122.4212203,37.7735081,Mission,tt3713030,2015,movie,"Biography, Drama, Romance","I AM MICHAEL is the incredible true-life story of Michael Glatze (Franco), a high profile gay youth activist who created a national controversy when he claimed to no longer be gay and became a straight Christian pastor. The film follows Michael from his life in San Francisco with his boyfriend Bennett (Quinto), where he pursues political activism, a journalist career at XY Magazine, social awareness, and sexual exploration, to his days of personal self-discovery. After a traumatic scare, Michael is plagued by doubt and paranoia, and begins a religious reawakening. Michael renounces his gay lifestyle, rejects his friends, and endeavors to find his ""true self."" He explores Buddhism and Mormonism, yet ultimately lands at a Christian Bible school in rural Wyoming where he meets his girlfriend, Rebekah (Roberts), and becomes the pastor of his own church. This powerful new film captures one man's haunting journey through modern concepts of love, denial and redemption.",English,United States,Not Rated,98,8 wins & 3 nominations total,5.6,5994,56,,https://m.media-amazon.com/images/M/MV5BMjAxNjI1NDc1Nl5BMl5BanBnXkFtZTgwMzQ1NTQwMTI@._V1_SX300.jpg,61%,56/100
Devs,Broadway btwn Polk and Kearny,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,-122.4218564,37.7957972,Russian Hill,tt8134186,2020,series,"Drama, Mystery, Sci-Fi","A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","English, Chinese","United Kingdom, United States",TV-MA,409,Nominated for 4 Primetime Emmys. 14 nominations total,7.6,55967,,,https://m.media-amazon.com/images/M/MV5BMDBmMGFiNGYtNDRjMS00NzJlLWE5YjctOTkzNDM0ODM5YTRlXkEyXkFqcGc@._V1_SX300.jpg,,
